Harapan_Lama_Sekolah;Pengeluaran_Perkapita;Rerata_Lama_Sekolah;Usia_Harapan_Hidup;IPM
1237;8739;485;6803;Normal
1364;8739;669;6758;Normal
132;8888;571;7141;Normal
1526;12239;993;7402;High
1432;13733;1011;7375;High
1551;16593;1018;7327;Very-High
1359;12180;87;7029;High
1362;13281;912;7152;High
14;13499;1025;7332;High
144;16018;1114;7281;Very-High
148;17755;1049;7418;Very-High
1413;12824;907;7261;High
1289;11964;889;6996;High
1347;8572;71;6466;Normal
1197;8690;64;6721;Normal
1282;12203;839;6989;High
1257;10665;75;6464;Normal
1385;14484;1069;716;High
1316;13010;987;6667;High
1278;13212;876;68;High
1447;15667;1181;7247;Very-High
1333;13929;895;7213;High
1265;11790;823;7235;High
13;14494;888;7365;High
1398;17503;1039;751;Very-High
1389;14544;904;7368;High
1299;11376;813;7125;High
1234;11268;717;7052;Normal
1241;10237;632;7047;Normal
1307;13463;724;7183;High
14;19723;1147;7482;Very-High
137;10351;731;6651;Normal
1371;11304;641;6694;Normal
1367;9952;628;6621;Normal
1369;9409;67;6597;Normal
1306;9146;792;6754;Normal
1332;8889;844;6682;Normal
1329;8468;778;6633;Normal
1362;11536;866;6807;High
1272;9006;591;6717;Normal
1559;14968;946;7176;High
15;11105;1049;7038;High
1318;7598;763;6701;Normal
1311;7321;66;6708;Normal
1282;9406;712;6513;Normal
1385;7526;738;6463;Normal
1257;6861;673;6642;Normal
1331;6364;781;6696;Normal
1227;7479;735;6461;Normal
1223;6786;841;6148;Normal
1242;7305;822;6707;Normal
1291;7631;771;652;Normal
1316;8081;694;6724;Normal
1378;9094;781;6529;Normal
127;8865;852;6804;Normal
1341;7203;737;6703;Normal
1318;6539;759;646;Normal
1228;7468;73;6738;Normal
1296;6108;625;6838;Normal
1306;6372;634;6853;Normal
1248;8309;789;6713;Normal
1199;5818;708;6804;Normal
1314;5265;665;6064;Low
1278;5901;687;6497;Normal
164;13337;1158;6955;High
126;8930;737;7069;Normal
1261;9858;671;6893;Normal
1209;9102;676;7383;Normal
124;7357;711;7284;Normal
1239;7801;703;7104;Normal
1157;8245;715;7142;Normal
118;9163;731;711;Normal
1203;8728;707;7171;Normal
1205;7162;752;7252;Normal
1188;7434;683;7184;Normal
1116;8332;676;7297;Normal
1182;7842;601;6828;Normal
1382;8709;683;7059;Normal
15;14465;1017;7296;High
129;11650;789;7206;High
1266;11154;859;6974;High
1272;13109;842;7059;High
1284;11854;813;6985;High
1292;11015;759;6874;Normal
1255;11486;882;6709;High
1249;9936;871;713;High
1212;8674;801;7153;Normal
1248;11190;842;6936;High
1199;9370;794;6926;Normal
1267;10548;867;6578;Normal
1241;10047;818;6804;Normal
1178;10793;914;704;High
1283;11319;921;6822;High
1175;10419;754;6951;Normal
1495;14055;1152;7321;Very-High
1268;12032;829;6866;High
1201;11207;788;6945;Normal
1193;11530;743;6921;Normal
1244;12603;735;6721;Normal
1239;9805;734;6609;Normal
1194;11841;776;704;High
1217;12672;775;6597;Normal
122;12153;8;6601;Normal
1291;9527;753;6383;Normal
1272;11283;91;7044;High
1237;11718;796;7034;High
1246;11452;755;6772;Normal
1393;14306;995;7113;High
1481;13675;1095;7199;High
1372;11728;977;7433;High
131;10344;855;7262;High
129;9712;847;7286;High
1359;10720;922;7234;High
1289;10485;919;7316;High
1332;12018;952;7206;High
1256;11231;828;7141;High
1251;7524;797;721;Normal
1414;14549;1068;7449;Very-High
1489;14135;1048;7427;Very-High
1303;16278;1079;7428;Very-High
1293;8756;9;7259;High
133;9611;939;7145;High
13;9121;894;7266;High
1221;7381;854;7142;Normal
1264;6804;8;7134;Normal
1402;10894;997;7397;High
1285;10791;949;7169;High
1152;10128;793;6936;Normal
1398;12395;959;7108;High
1232;11427;829;701;High
1251;8505;951;7016;Normal
1274;11481;908;6992;High
128;11405;999;7138;High
1191;9062;84;6766;Normal
1167;8080;897;7073;Normal
1227;10408;888;7015;High
1229;8837;79;6449;Normal
1159;8998;783;6789;Normal
1415;13886;1127;7187;High
1261;12193;988;7107;High
142;11745;1073;7193;High
1279;10744;101;7047;High
